Time(s),Acceleration(m/s^2)
3.58,0.4162
3.59,0.5009
3.6,0.5206
3.61,0.5588
3.62,0.4623
3.63,0.5404
3.64,0.4697
3.65,0.3978
3.66,0.4836
3.67,0.4331
3.68,0.3998
3.69,0.2843
3.7,0.2736
3.71,0.2892
3.72,0.0625
3.73,0.1577
3.74,0.0581
3.75,0.0595
3.76,0.0081
3.77,-0.1031
3.78,-0.0839
3.79,-0.2221
3.8,-0.2953
3.81,-0.3357
3.82,-0.2561
3.83,-0.4305
3.84,-0.5064
3.85,-0.573
3.86,-0.5048
3.87,-0.5777
3.88,-0.5961
3.89,-0.5071
3.9,-0.492
3.91,-0.3956
3.92,-0.4569
3.93,-0.3321
3.94,-0.4546
3.95,-0.3666
3.96,-0.2629
3.97,-0.2884
3.98,-0.0978
3.99,-0.1204
4.0,1.0576
4.01,1.1694
4.02,1.2112
4.03,1.2343
4.04,1.2628
4.05,0.2098
4.06,0.2282
4.07,0.3876
4.08,0.4088
4.09,0.4617
4.1,0.4609
4.11,0.4878
4.12,0.4945
4.13,0.5232
4.14,0.5052
4.15,0.4482
4.16,0.469
4.17,0.4158
4.18,0.4134
4.19,0.4496
4.2,0.2283
4.21,0.2259
4.22,0.2181
4.23,0.099
4.24,0.0875
4.25,0.0311
4.26,-0.0686
4.27,-0.1109
4.28,-0.2078
4.29,-0.1835
4.3,-0.3454
4.31,-0.344
4.32,-0.3251
4.33,-0.4315
4.34,-0.3473
4.35,-0.4386
4.36,-0.3909
4.37,-0.4229
4.38,-0.4466
4.39,-0.5701
4.4,-0.5489
4.41,-0.394
4.42,-0.3607
4.43,-0.3987
4.44,-0.2515
4.45,-0.3746
4.46,-0.2457
4.47,-0.2529
4.48,-0.1728
4.49,-0.1165
4.5,0.0174
4.51,0.0371
4.52,0.1094
4.53,0.2625
4.54,0.1723
4.55,0.2367
4.56,0.2832
4.57,0.3366
4.58,0.4368
4.59,0.3252
4.6,0.4658
4.61,0.4758
4.62,0.489
4.63,0.5077
4.64,0.4493
4.65,0.4578
4.66,0.4477
4.67,0.3876
4.68,0.4622
4.69,0.3301
4.7,0.2841
4.71,0.3416
4.72,0.184
4.73,0.0926
4.74,0.1089
4.75,-0.007
4.76,-0.0162
4.77,-0.042
4.78,-0.2544
4.79,-0.2582
4.8,-0.2899
4.81,-0.4355
4.82,-0.4953
4.83,-0.4208
4.84,-0.4264
4.85,-0.5599
4.86,-0.4733
4.87,-0.4591
4.88,-0.5508
4.89,-0.5123
4.9,-0.4272
4.91,-0.3938
4.92,-0.4137
4.93,-0.4333
4.94,-0.3167
4.95,-0.2762
4.96,-0.2865
4.97,-0.1412
4.98,-0.1395
4.99,-0.0867
5.0,-0.0507
5.01,0.0028
5.02,0.1573
5.03,0.187
5.04,0.2631
5.05,0.3348
5.06,0.3058
5.07,0.3985
5.08,0.5137
5.09,0.396
5.1,0.4539
5.11,0.4794
5.12,0.4068
5.13,0.4692
5.14,0.3695
5.15,0.4923
5.16,0.3366
5.17,0.4191
5.18,0.3453
5.19,0.3058
5.2,0.2393
5.21,0.2347
5.22,0.1421
5.23,0.1511
5.24,0.0555
5.25,0.0286
5.26,0.0318
5.27,-0.0776
5.28,-0.2077
5.29,-0.2257
5.3,-0.3292
5.31,-0.3054
5.32,-0.3689
5.33,-0.4763
5.34,-0.4082
5.35,-0.5153
5.36,-0.4826
5.37,-0.5251
5.38,-0.401
5.39,-0.5004
5.4,-0.4787
5.41,-0.3708
5.42,-0.4018
5.43,-0.4416
5.44,-0.2642
5.45,-0.2386
5.46,-0.3189
5.47,-0.237
5.48,-0.0931
5.49,-0.0665
5.5,1.3295
5.51,1.44
5.52,1.4822
5.53,1.6658
5.54,1.7211
5.55,0.3526
5.56,0.4096
5.57,0.4164
5.58,0.4447
5.59,0.4266
5.6,0.4091
5.61,0.4985
5.62,0.5722
5.63,0.5203
5.64,0.5591
5.65,0.5697
5.66,0.4614
5.67,0.4698
5.68,0.2962
5.69,0.3369
5.7,0.3087
5.71,0.2074
5.72,0.24
5.73,0.1955
5.74,0.0121
5.75,0.0213
5.76,-0.1303
5.77,-0.1672
5.78,-0.2233
5.79,-0.2428
5.8,-0.3121
5.81,-0.2943
5.82,-0.367
5.83,-0.3471
5.84,-0.4618
5.85,-0.4706
5.86,-0.4299
5.87,-0.3276
5.88,-0.4585
5.89,-0.422
5.9,-0.4851
5.91,-0.3757
5.92,-0.4078
5.93,-0.2911
5.94,-0.3203
5.95,-0.3375
5.96,-0.2523
5.97,-0.1222
5.98,-0.1366
5.99,0.0051
6.0,-0.0291
6.01,0.1007
6.02,0.1087
6.03,0.1675
6.04,0.3341
6.05,0.1737
6.06,0.3394
6.07,0.3936
6.08,0.4718
6.09,0.3747
6.1,0.5008
6.11,0.4882
6.12,0.4677
6.13,0.5891
6.14,0.5453
6.15,0.4751
6.16,0.4344
6.17,0.5101
6.18,0.4214
6.19,0.3124
6.2,0.2049
6.21,0.2125
6.22,0.1879
6.23,0.1102
6.24,0.1253
6.25,0.0086
6.26,-0.0051
6.27,-0.1887
6.28,-0.1777
6.29,-0.2279
6.3,-0.2242
6.31,-0.3282
6.32,-0.4343
6.33,-0.4412
6.34,-0.3827
6.35,-0.5207
6.36,-0.4628
6.37,-0.4641
6.38,-0.5115
6.39,-0.4913
6.4,-0.4159
6.41,-0.4624
6.42,-0.4514
6.43,-0.3491
6.44,-0.3942
6.45,-0.1913
6.46,-0.2252
6.47,-0.1577
6.48,-0.1609
6.49,-0.04
6.5,0.0589
6.51,0.1522
6.52,0.1163
6.53,0.2395
6.54,0.1971
6.55,0.2857
6.56,0.4162
6.57,0.4753
6.58,0.4776
6.59,0.526
6.6,0.386
6.61,0.4514
6.62,0.4946
6.63,0.5053
6.64,0.4142
6.65,0.4725
6.66,0.4429
6.67,0.4131
6.68,0.2864
6.69,0.3395
6.7,0.2779
6.71,0.2338
6.72,0.2012
6.73,0.0109
6.74,0.1344
6.75,-0.0863
6.76,-0.0293
6.77,-0.0855
6.78,-0.2102
6.79,-0.1256
6.8,-0.3291
6.81,-0.3343
6.82,-0.3839
6.83,-0.4011
6.84,-0.396
6.85,-0.4759
6.86,-0.3726
6.87,-0.5511
6.88,-0.6032
6.89,-0.5442
6.9,-0.4613
6.91,-0.4587
6.92,-0.4363
6.93,-0.3196
6.94,-0.3796
6.95,-0.2731
6.96,-0.1862
6.97,-0.197
6.98,-0.1184
6.99,-0.0576
7.0,1.7881
7.01,1.7123
7.02,1.8738
7.03,2.0114
7.04,1.8748
7.05,0.3334
7.06,0.3709
7.07,0.3509
7.08,0.4061
7.09,0.4287
7.1,0.4158
7.11,0.433
7.12,0.4521
7.13,0.4225
7.14,0.5046
7.15,0.5716
7.16,0.4945
7.17,0.3895
7.18,0.5136
7.19,0.3023
7.2,0.3732
7.21,0.2341
7.22,0.2396
7.23,0.1987
7.24,-0.0147
7.25,0.0003
7.26,-0.1307
7.27,-0.0042
7.28,-0.118
7.29,-0.2345
7.3,-0.2263
7.31,-0.3372
7.32,-0.4493
7.33,-0.4314
7.34,-0.4373
7.35,-0.5589
7.36,-0.5259
7.37,-0.5471
7.38,-0.4727
7.39,-0.5033
7.4,-0.4154
7.41,-0.4591
7.42,-0.4772
7.43,-0.3287
7.44,-0.251
7.45,-0.2744
7.46,-0.2189
7.47,-0.1642
7.48,-0.0842
7.49,-0.0074
7.5,0.084
7.51,0.0557
7.52,0.0965
7.53,0.1897
7.54,0.3188
7.55,0.2407
7.56,0.3055
7.57,0.4196
7.58,0.4616
7.59,0.3678
7.6,0.4287
7.61,0.5079
7.62,0.424
7.63,0.4666
7.64,0.4964
7.65,0.5534
7.66,0.4645
7.67,0.5196
7.68,0.2872
7.69,0.3108
7.7,0.2959
7.71,0.1467
7.72,0.1178
7.73,0.116
7.74,0.0925
7.75,-0.0261
7.76,-0.1
7.77,-0.1479
7.78,-0.2068
7.79,-0.3013
7.8,-0.3242
7.81,-0.3358
7.82,-0.408
7.83,-0.3928
7.84,-0.4448
7.85,-0.4872
7.86,-0.4253
7.87,-0.462
7.88,-0.5364
7.89,-0.5038
7.9,-0.446
7.91,-0.5724
7.92,-0.3648
7.93,-0.3827
7.94,-0.3604
7.95,-0.2799
7.96,-0.1816
7.97,-0.2001
7.98,-0.1417
7.99,-0.0799
8.0,0.0217
8.01,0.116
8.02,0.1138
8.03,0.2201
8.04,0.2701
8.05,0.3344
8.06,0.2954
8.07,0.4513
8.08,0.3534
8.09,0.4619
8.1,0.5444
8.11,0.5119
8.12,0.5226
8.13,0.4129
8.14,0.6142
8.15,0.4762
8.16,0.5105
8.17,0.4299
8.18,0.4698
8.19,0.2798
8.2,0.3255
8.21,0.2409
8.22,0.2162
8.23,0.1019
8.24,0.0587
8.25,-0.0276
8.26,-0.0291
8.27,-0.1384
8.28,-0.1691
8.29,-0.2611
8.3,-0.3734
8.31,-0.4294
8.32,-0.3627
8.33,-0.4242
8.34,-0.37
8.35,-0.4686
8.36,-0.4719
8.37,-0.5483
8.38,-0.5274
8.39,-0.474
8.4,-0.4917
8.41,-0.3392
8.42,-0.4157
8.43,-0.3351
8.44,-0.3345
8.45,-0.2703
8.46,-0.2952
8.47,-0.236
8.48,-0.173
8.49,-0.063
8.5,1.8924
8.51,1.9308
8.52,2.0378
8.53,2.1161
8.54,2.1068
8.55,0.2728
8.56,0.3843
8.57,0.4499
8.58,0.3934
8.59,0.5167
8.6,0.446
8.61,0.4905
8.62,0.543
8.63,0.5009
8.64,0.5293
8.65,0.5313
8.66,0.4477
8.67,0.4501
8.68,0.3466
8.69,0.4509
8.7,0.3373
8.71,0.2167
8.72,0.1712
8.73,0.1121
8.74,0.1098
8.75,0.0516
8.76,-0.1167
8.77,-0.185
8.78,-0.1971
8.79,-0.2398
8.8,-0.2604
8.81,-0.3863
8.82,-0.4001
8.83,-0.3774
8.84,-0.4067
8.85,-0.4884
8.86,-0.4428
8.87,-0.5927
8.88,-0.4668
8.89,-0.4426
8.9,-0.5234
8.91,-0.5064
8.92,-0.3331
8.93,-0.3958
8.94,-0.3598
8.95,-0.3426
8.96,-0.215
8.97,-0.2054
8.98,-0.1051
8.99,-0.0648
9.0,-0.0536
9.01,0.0602
9.02,0.041
9.03,0.107
9.04,0.2252
9.05,0.253
9.06,0.2992
9.07,0.4032
9.08,0.5401
9.09,0.4897
9.1,0.476
9.11,0.47
9.12,0.4327
9.13,0.4858
9.14,0.5319
9.15,0.3743
9.16,0.4457
9.17,0.4439
9.18,0.5035
9.19,0.3675
9.2,0.1832
9.21,0.2837
9.22,0.2388
9.23,0.1331
9.24,0.0726
9.25,0.1248
9.26,-0.0193
9.27,-0.1195
9.28,-0.1798
9.29,-0.1768
9.3,-0.2533
9.31,-0.436
9.32,-0.4589
9.33,-0.361
9.34,-0.4701
9.35,-0.4914
9.36,-0.5199
9.37,-0.4378
9.38,-0.5536
9.39,-0.5533
9.4,-0.4559
9.41,-0.4226
9.42,-0.4384
9.43,-0.385
9.44,-0.4018
9.45,-0.2806
9.46,-0.2561
9.47,-0.2131
9.48,-0.1561
9.49,-0.0022
9.5,0.0061
9.51,-0.0169
9.52,0.0823
9.53,0.2169
9.54,0.2441
9.55,0.2673
9.56,0.3953
9.57,0.3743
9.58,0.4915
9.59,0.4524
9.6,0.447
9.61,0.5352
9.62,0.4739
9.63,0.5508
9.64,0.4018
9.65,0.4694
9.66,0.4991
9.67,0.4653
9.68,0.3705
9.69,0.3861
9.7,0.3417
9.71,0.2014
9.72,0.1048
9.73,0.0552
9.74,0.0285
9.75,-0.0429
9.76,-0.0158
9.77,-0.1884
9.78,-0.0963
9.79,-0.3043
9.8,-0.2458
9.81,-0.3918
9.82,-0.3771
9.83,-0.3008
9.84,-0.423
9.85,-0.509
9.86,-0.4875
9.87,-0.5162
9.88,-0.5574
9.89,-0.5199
9.9,-0.3549
9.91,-0.4772
9.92,-0.4079
9.93,-0.4045
9.94,-0.3254
9.95,-0.2697
9.96,-0.2105
9.97,-0.2665
9.98,-0.1324
9.99,-0.0282
